X,Y,FID,COUNTYNS,GEOID,ALAND,AWATER,NAME,State,B01001_001E,B01001_001M,B01001_calc_numLT18E,B01001_calc_numLT18M,B01001_calc_pctLT18E,B01001_calc_pctLT18M,B01001_calc_numGE65E,B01001_calc_numGE65M,B01001_calc_pctGE65E,B01001_calc_pctGE65M,B01001_calc_numDependE,B01001_calc_numDependM,B01001_calc_pctDependE,B01001_calc_pctDependM,B01002_001E,B01002_001M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_012E,B03002_012M,B03002_calc_pctNHWhiteE,B03002_calc_pctNHWhiteM,B03002_calc_pctBlackE,B03002_calc_pctBlackM,B03002_calc_pctAIANE,B03002_calc_pctAIANM,B03002_calc_pctAsianE,B03002_calc_pctAsianM,B03002_calc_pctNHOPIE,B03002_calc_pctNHOPIM,B03002_calc_pctOtherE,B03002_calc_pctOtherM,B03002_calc_pct2OrMoreE,B03002_calc_pct2OrMoreM,B03002_calc_pctHispLatE,B03002_calc_pctHispLatM,B05011_001E,B05011_001M,B05003_calc_pctFBE,B05003_calc_pctFBM,B19049_001E,B19049_001M,B25002_001E,B25002_001M,B25002_002E,B25002_002M,B25002_003E,B25002_003M,B25003_001E,B25003_001M,B25003_002E,B25003_002M,B25003_003E,B25003_003M,B25003_calc_pctOwnE,B25003_calc_pctOwnM,B25058_001E,B25058_001M,B25077_001E,B25077_001M
-86.64274826,32.53507415,1,161526,1001,1539602123,25706961,Autauga County,Alabama,55200,,13369,478,24.2,,8050,489,14.6,,21419,684,38.8,,37.8,0.4,41412,59,10475,212,159,68,568,166,5,11,41,59,1012,251,1528,,75,,19,,0.3,,1,,0,,0.1,,1.8,,2.8,,1114,183,2,,58786,2972,23315,71,21115,383,2200,380,21115,383,15814,494,5301,448,74.9,1.904749873,770,48,147900,5685
-87.72265184,30.7287734,2,161527,1003,4117546676,1133055836,Baldwin County,Alabama,208107,,45677,1079,21.9,,40665,1282,19.5,,86342,1676,41.5,,42.8,0.3,172768,227,19529,317,1398,315,1668,360,9,13,410,288,2972,585,9353,,83,,9.4,,0.7,,0.8,,0,,0.2,,1.4,,4.5,,7170,833,3.4,,55962,1204,111945,206,78622,1183,33323,1122,78622,1183,57881,1171,20741,1053,73.6,0.995624916,761,34,189800,4020
-85.39309123,31.86989241,3,161528,1005,2292144655,50538698,Barbour County,Alabama,25782,,5436,251,21.1,,4634,301,18,,10070,392,39.1,,39.9,0.5,11898,22,12199,184,63,40,85,38,1,3,86,69,344,161,1106,,46.1,,47.3,,0.2,,0.3,,0,,0.3,,1.3,,4.3,,646,109,2.5,,34186,2552,11937,123,9186,280,2751,259,9186,280,5640,284,3546,324,61.4,2.460883347,399,31,92900,7468
-87.12643289,32.99882695,4,161529,1007,1612167481,9602089,Bibb County,Alabama,22527,,4659,394,20.7,,3661,381,16.3,,8320,548,36.9,,39.9,1.1,16801,22,4974,97,8,16,37,54,0,22,0,22,160,89,547,,74.6,,22.1,,0,,0.2,,0,,0,,0.7,,2.4,,325,131,1.4,,45340,5618,9161,77,6840,321,2321,310,6840,321,5135,333,1705,290,75.1,3.359883201,460,32,96500,12376
-86.56729153,33.98110155,5,161530,1009,1670103911,15015423,Blount County,Alabama,57645,,13468,441,23.4,,10233,523,17.8,,23701,684,41.1,,40.8,0.4,50232,229,820,159,124,67,198,33,18,32,174,229,818,166,5261,,87.1,,1.4,,0.2,,0.3,,0,,0.3,,1.4,,9.1,,2513,266,4.4,,48695,2703,24222,55,20600,396,3622,386,20600,396,16197,494,4403,410,78.6,1.861769602,443,20,124700,4967
-85.71571691,32.10069567,6,161531,1011,1613059160,6054988,Bullock County,Alabama,10352,,2150,259,20.8,,1616,235,15.6,,3766,350,36.4,,39.6,1.6,2228,19,7893,146,122,139,56,71,0,19,2,4,0,19,51,51,21.5,,76.2,,1.2,,0.5,,0,,0,,0,,0.5,,96,71,0.9,,32152,10285,4526,64,3609,196,917,198,3609,196,2726,213,883,193,75.5,4.243252417,402,118,77500,12287
-86.68028808,31.75268815,7,161532,1013,2012002530,2701198,Butler County,Alabama,20025,,4566,232,22.8,,3806,318,19,,8372,394,41.8,,40.7,0.6,10384,22,9027,106,2,4,231,44,0,22,0,22,314,94,67,43,51.9,,45.1,,0,,1.2,,0,,0,,1.6,,0.3,,275,51,1.4,,39109,2026,10026,51,6708,274,3318,265,6708,274,4692,232,2016,234,69.9,1.949027417,374,25,88300,8202
-85.82598934,33.77161861,8,161533,1015,1569189622,16627597,Calhoun County,Alabama,115098,,25196,579,21.9,,19386,738,16.8,,44582,938,38.7,,39.7,0.3,83423,34,23618,387,227,83,1065,146,9,14,38,28,2515,444,4203,,72.5,,20.5,,0.2,,0.9,,0,,0,,2.2,,3.7,,3059,357,2.7,,45197,1578,53682,184,45033,683,8649,641,45033,683,31286,654,13747,710,69.5,0.999420086,488,13,113800,3386
-85.39206123,32.91457555,9,161534,1017,1545085607,16971701,Chambers County,Alabama,33826,,7006,358,20.7,,6409,398,18.9,,13415,535,39.7,,43,0.5,18872,2,13319,159,97,43,405,38,0,25,18,29,347,159,768,,55.8,,39.4,,0.3,,1.2,,0,,0.1,,1,,2.3,,470,110,1.4,,39872,2347,16981,72,13516,372,3465,365,13516,372,9159,398,4357,435,67.8,2.278713185,456,23,88400,4657
-85.60379323,34.17627007,10,161535,1019,1433623321,120308339,Cherokee County,Alabama,25853,,5286,295,20.4,,5621,409,21.7,,10907,504,42.2,,45.9,0.5,23730,22,1267,76,236,130,42,47,0,22,0,22,180,136,398,,91.8,,4.9,,0.9,,0.2,,0,,0,,0.7,,1.5,,205,93,0.8,,41014,1931,16531,57,10606,370,5925,381,10606,370,8374,410,2232,323,79,2.712387095,378,21,123100,10806
